Account Number,Account Name,Crid,Asset,Hostname,Name,Price,Role,Product,Owner,Notes
18390,Project Y -- Glam Media,45133,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45089,,app81,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45134,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45092,,app82,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45135,NA,NA,M-Gigabit Private Network, $199.99 ,Network,OPS,Techops,NA
18390,Project Y -- Glam Media,45095,,app80,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,59471,NA,NA,M-COLO-Unmetered 100Mbps FastE Connection," $1,425.00 ",Bandwidth,OPS,Techops,NA
18390,Project Y -- Glam Media,45098,,app83,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,70912,NA,NA,M-Cloud Connect (1000Mbps) - Connect  up to 5 servers to GoGrid, $199.99 ,Bandwidth,OPS,Techops,NA
18390,Project Y -- Glam Media,45101,,app84,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45104,,app87,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45107,,app85,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,NA,,NA,
18390,Project Y -- Glam Media,45110,,app86,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,45113,,app89,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,79880,NA,NA,M-Custom Hardware," $2,500.00 ",CustomHardware,Ops,Techops,NA
18390,Project Y -- Glam Media,45116,,app88,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73017,AS-09409,dbus05,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45119,,app90,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73014,AS-09408,dbus04,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,The hostname and Asset was missing in original sheet from mayur
18390,Project Y -- Glam Media,45122,,app91,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,69947,AS-09407,dbus03,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45125,,app93,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73008,AS-09406,dbus02,M-AdvancedPath, $210.00 ,DBUS,Database,DBTeam,NA
18390,Project Y -- Glam Media,45128,,app92,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
18390,Project Y -- Glam Media,73005,AS-09344,dbus01,M-AdvancedPath, $210.00 ,DBUS,Database,DBteam,marked as app231 in the original sheet
18390,Project Y -- Glam Media,45131,,app94,M-AdvancedPath - Upgrade RAM to 8 GB Total, $-   ,,,,
