Hostname,Crid,Asset,Price,Role,Product,Owner
dbus05,73017,AS-09409,$210.00,DBUS,Database,DBTeam
dbus04,73014,AS-09408,$210.00,DBUS,Database,DBTeam
dbus03,69947,AS-09407,$210.00,DBUS,Database,DBTeam
dbus02,73008,AS-09406,$210.00,DBUS,Database,DBTeam
dbus01,73005,AS-09344,$210.00,DBUS,Database,DBteam
dbus00,73002,AS-09343,$210.00,DBUS,Database,DBTeam
cshdpm6,70007,AS-08917,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdpm5,70004,AS-08916,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdpm4,72999,AS-09405,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdpm3,72996,AS-09401,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdpm2,72993,AS-09540,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdpm1,72990,AS-09331,$210.00,HadoopMngt,Hadoop,HadoopTeam
cshdp99,79862,AS-10095,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp98,79858,AS-09341,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp97,79854,AS-07581,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp96,79850,AS-07580,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp95,79846,AS-08077,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp94,79842,AS-08661,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp93,79838,AS-07778,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp92,79834,AS-07752,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp91,79830,AS-08660,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp90,79826,AS-11155,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp9,72733,AS-09532,$280.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp89,79822,AS-10156,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp88,79818,AS-08663,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp87,79814,AS-08584,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp86,79810,AS-08657,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp85,79806,AS-10405,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp84,79802,AS-08078,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp83,79798,AS-08664,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp82,79794,AS-10111,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp81,79790,AS-09529,$315.00,HadoopDataNode,Hadoop,HadoopTeam
cshdp80,79786,AS-07721,$315.00,HadoopDataNode,Hadoop,HadoopTeam
